,price
0,20950.0
2,10999.0
5,19799.0
6,28495.0
7,22999.0
11,14100.0
12,17819.0
13,19991.0
17,11743.0
18,26500.0
19,18373.0
20,15590.0
21,17322.0
22,10999.0
23,16944.0
26,28649.0
28,28680.0
30,20925.0
31,16987.0
32,13995.0
33,22298.0
35,13988.0
36,27850.0
37,26642.0
38,28900.0
39,18749.0
40,14600.0
41,3900.0
43,11498.0
44,16688.0
45,10432.0
46,8991.0
47,17967.0
49,6992.0
50,16999.0
52,27188.0
53,17364.0
54,26048.0
55,10000.0
56,15877.0
57,15000.0
59,24666.0
61,8572.0
62,13287.0
63,21900.0
65,12118.0
67,26865.0
68,19400.0
70,18880.0
71,27497.0
73,27994.0
74,24990.0
75,16839.0
76,18598.0
77,29997.0
78,22920.0
79,27825.0
80,10491.0
81,12700.0
82,14295.0
83,24500.0
84,9611.0
86,19445.0
87,21593.0
88,22000.0
89,21988.0
90,26534.0
91,7999.0
92,16995.0
93,19980.0
94,9990.0
95,11900.0
96,25499.0
97,28912.0
98,29900.0
99,29300.0
100,18600.0
101,24599.0
102,17176.0
103,25398.0
104,21293.0
105,22022.0
106,6995.0
107,10988.0
108,21988.0
109,21500.0
111,28445.0
112,6800.0
113,26941.0
114,16988.0
115,24999.0
116,19499.0
117,15672.0
119,10998.0
121,17300.0
123,10988.0
124,26988.0
125,14888.0
127,24992.0
129,23980.0
130,14991.0
131,18499.0
132,16677.0
133,10490.0
135,24975.0
136,12647.0
138,24498.0
139,27994.0
140,20998.0
141,28875.0
142,19950.0
143,27900.0
144,25158.0
145,28897.0
146,18591.0
147,16775.0
148,26842.0
149,17597.0
151,15999.0
152,17995.0
153,14200.0
154,22996.0
155,16765.0
157,14988.0
158,18500.0
160,13987.0
163,19496.0
164,18995.0
165,17343.0
166,18002.0
167,28848.0
168,12900.0
170,15000.0
173,28330.0
174,15800.0
176,18508.0
178,17888.0
179,29500.0
181,26500.0
182,29995.0
183,21504.0
184,28666.0
186,21800.0
187,19595.0
190,26995.0
191,23999.0
192,13900.0
194,16095.0
195,22400.0
198,15995.0
199,17701.0
200,21999.0
201,11489.0
202,2744.0
203,17500.0
204,12988.0
208,26888.0
209,18550.0
210,13900.0
211,10194.0
212,29900.0
214,24198.0
215,13998.0
216,14444.0
218,28495.0
219,17495.0
220,23995.0
222,12495.0
223,17990.0
224,4998.0
225,15998.0
226,15941.0
227,8097.0
228,16899.0
229,12516.0
230,21724.0
231,26000.0
232,16899.0
233,18995.0
234,24999.0
235,18929.0
236,18498.0
237,20888.0
238,25999.0
241,10995.0
243,21975.0
244,19638.0
245,15991.0
246,18997.0
247,13500.0
248,12815.0
249,20819.0
250,6791.0
251,11486.0
254,17995.0
256,18688.0
257,8146.0
258,18995.0
260,18821.0
261,17000.0
262,18990.0
265,24990.0
267,14995.0
270,14999.0
271,29450.0
272,15995.0
273,14900.0
274,28599.0
275,18791.0
277,20295.0
279,19998.0
280,12690.0
281,18552.0
282,14873.0
284,23390.0
285,8000.0
287,24250.0
288,16900.0
289,6495.0
290,5000.0
291,16988.0
292,27288.0
