,city_fuel_economy,engine_displacement,franchise_make,fuel_tank_volume,height,highway_fuel_economy,length,mileage,model_name,owner_count,power,savings_amount,torque,trimId,wheelbase,width,year,wheel_system_cat,wheel_system_display_cat,body_type_Sedan,engine_cylinders_I4,engine_cylinders_V6,transmission_display_8_Speed_Automatic
0,21.0,2000.0,1,15.5,65.2,28.0,179.2,41832.0,2,1.0,240,90,270,66989,105.9,84.1,2017,3,3,0,1,0,0
2,23.0,2500.0,1,15.4,66.3,32.0,178.1,102111.0,1,1.0,168,192,170,55391,105.9,81.8,2015,3,3,0,1,0,0
5,21.0,2000.0,0,16.4,65.0,26.0,176.2,26477.0,1,1.0,164,1219,151,73182,105.1,72.8,2017,2,1,0,1,0,0
6,15.0,5700.0,4,26.0,77.5,21.0,229.0,51699.0,3,1.0,395,182,410,59050,140.5,79.4,2016,0,2,0,0,0,1
7,21.0,2400.0,0,18.8,66.1,27.0,187.8,34175.0,1,1.0,185,2484,178,82622,108.9,74.4,2019,2,1,0,1,0,1
11,24.0,1400.0,0,14.0,64.8,30.0,167.6,26900.0,1,1.0,138,1321,148,68634,100.6,69.9,2017,2,1,0,1,0,0
12,22.0,2000.0,2,15.1,66.3,30.0,178.1,32468.0,1,2.0,240,428,270,57730,105.9,81.8,2016,3,3,0,1,0,0
13,25.0,2000.0,0,18.0,56.8,34.0,184.5,77055.0,3,5.0,241,1054,273,56625,111.8,79.5,2015,4,4,1,1,0,0
17,27.0,2500.0,0,18.0,57.8,39.0,191.9,83710.0,1,2.0,182,76,180,63249,109.3,72.0,2016,3,3,1,1,0,0
18,23.0,2000.0,4,15.8,56.5,33.0,182.8,45418.0,2,1.0,248,77,258,69354,110.6,80.0,2017,2,1,1,1,0,1
19,26.0,1400.0,0,14.0,66.0,31.0,167.6,3622.0,1,1.0,138,62,148,80476,100.6,69.9,2019,3,3,0,1,0,0
20,25.0,2500.0,0,18.5,59.0,34.0,188.8,40995.0,1,1.0,175,1058,174,68623,108.3,81.3,2017,2,1,1,0,0,0
21,21.0,2400.0,1,12.7,66.5,29.0,166.6,55183.0,1,1.0,180,934,175,70045,101.2,79.6,2017,0,2,0,1,0,0
22,24.0,1600.0,0,14.2,63.0,30.0,163.0,29647.0,0,1.0,130,1083,118,59779,101.2,70.9,2016,3,3,0,1,0,0
23,24.0,2000.0,1,12.4,57.8,34.0,171.7,9317.0,0,1.0,160,1561,146,73948,104.3,80.5,2018,3,3,0,1,0,0
26,30.0,1500.0,0,14.8,57.1,38.0,192.2,2158.0,1,1.0,192,0,192,88936,111.4,73.3,2020,3,3,1,1,0,0
28,16.0,3600.0,1,22.5,72.6,20.0,184.9,64742.0,3,1.0,285,194,260,67180,116.0,82.8,2016,0,2,0,0,1,0
30,18.0,3600.0,1,19.0,69.9,28.0,203.6,61138.0,3,3.0,287,1147,262,67340,121.6,90.4,2017,3,3,0,0,1,0
31,21.0,2400.0,1,12.7,66.5,29.0,166.6,46371.0,1,2.0,180,1365,175,70037,101.2,79.6,2017,0,2,0,1,0,0
32,21.0,2000.0,1,15.1,66.3,28.0,178.1,90296.0,1,2.0,240,1820,270,51334,105.9,81.8,2014,2,1,0,1,0,0
33,18.0,3600.0,0,19.0,69.9,28.0,203.8,39763.0,3,1.0,287,110,262,82290,121.6,90.4,2019,3,3,0,0,1,0
35,17.0,3700.0,1,26.0,74.8,23.0,213.2,81374.0,2,2.0,360,582,380,53055,125.9,97.0,2014,1,0,0,0,0,0
36,17.0,3600.0,1,18.6,72.6,21.0,164.3,22356.0,1,1.0,285,1348,260,75968,95.4,73.7,2018,0,2,0,0,1,0
37,15.0,3600.0,0,22.0,69.9,22.0,203.7,34947.0,1,1.0,281,3280,266,67377,118.9,78.5,2017,3,3,0,0,1,0
38,20.0,3500.0,4,19.5,68.6,27.0,200.1,34665.0,3,2.0,295,1850,270,68098,114.2,77.2,2017,3,3,0,0,1,0
39,26.0,2500.0,0,14.5,66.3,33.0,184.5,37417.0,1,1.0,170,1961,175,76571,106.5,72.4,2018,3,3,0,1,0,0
40,28.0,2000.0,0,14.0,56.5,37.0,179.9,42545.0,0,3.0,147,638,132,66938,106.3,70.9,2017,3,3,1,1,0,0
41,12.0,5300.0,0,32.0,75.7,15.0,219.3,202387.0,0,6.0,285,0,325,26136,130.0,78.9,2001,0,2,0,0,0,0
43,27.0,2500.0,1,18.0,57.9,38.0,191.5,71233.0,1,2.0,182,112,180,55064,109.3,72.0,2015,3,3,1,1,0,0
44,22.0,2000.0,0,15.7,66.3,29.0,178.1,27173.0,1,1.0,245,1142,275,82956,105.9,81.8,2019,3,3,0,1,0,0
45,23.0,2500.0,0,15.9,65.3,28.0,183.3,91180.0,0,3.0,170,167,175,57529,105.9,70.9,2015,3,3,0,1,0,0
46,17.0,3800.0,1,20.6,71.1,22.0,190.6,157303.0,0,3.0,260,1713,257,43026,110.4,76.6,2012,3,3,0,0,1,0
47,26.0,2500.0,1,16.4,57.1,35.0,191.5,30775.0,1,1.0,184,1436,185,70033,111.4,72.4,2017,3,3,1,1,0,0
49,18.0,3200.0,0,17.1,56.7,26.0,189.3,135558.0,0,3.0,258,926,233,24882,107.9,72.2,2007,3,3,1,0,1,0
50,19.0,3200.0,1,15.9,66.2,26.0,182.0,80242.0,1,2.0,271,914,239,52311,106.3,73.2,2014,0,2,0,0,1,0
52,19.0,3600.0,0,19.0,69.9,28.0,204.3,28719.0,3,1.0,287,1080,262,87155,121.6,90.4,2020,3,3,0,0,1,0
53,23.0,2000.0,1,16.5,58.1,34.0,191.7,24876.0,0,1.0,181,149,185,73845,112.2,83.5,2018,3,3,1,1,0,0
54,14.0,5700.0,1,24.6,69.3,22.0,189.8,50486.0,2,1.0,360,3453,390,68766,114.8,84.8,2017,0,2,0,0,0,1
55,26.0,1800.0,1,13.2,57.7,34.0,180.0,92416.0,0,2.0,132,817,128,45212,102.4,69.4,2013,3,3,1,1,0,0
56,23.0,2000.0,0,16.4,64.8,30.0,176.2,31875.0,1,1.0,164,578,151,68992,105.1,72.8,2017,3,3,0,1,0,0
57,21.0,2500.0,0,15.9,69.1,27.0,181.9,57393.0,2,3.0,179,130,172,42971,104.7,73.0,2012,0,2,0,1,0,0
59,22.0,2400.0,1,13.5,64.8,30.0,173.0,4514.0,1,1.0,180,1402,175,82990,103.8,80.0,2019,0,2,0,1,0,0
61,26.0,1400.0,0,15.6,58.1,38.0,181.0,111152.0,0,3.0,138,417,148,72493,105.7,70.7,2016,3,3,1,1,0,0
62,29.0,2000.0,0,14.0,56.5,38.0,179.9,20832.0,0,1.0,147,113,132,66940,106.3,70.9,2017,3,3,1,1,0,0
63,15.0,3500.0,0,33.5,77.7,21.0,220.8,95348.0,1,3.0,365,3561,420,57738,131.0,91.8,2016,1,0,0,0,1,0
65,28.0,1600.0,0,18.5,58.1,38.0,191.1,71013.0,1,2.0,178,293,195,78363,110.4,73.4,2016,3,3,1,1,0,0
67,19.0,3600.0,0,18.5,58.9,28.0,201.3,3394.0,1,1.0,305,879,264,86810,111.7,84.3,2020,3,3,1,0,0,0
68,24.0,1400.0,0,14.0,66.3,30.0,167.6,29159.0,1,1.0,138,2341,148,75107,100.6,69.9,2018,2,1,0,1,0,0
70,22.0,2000.0,2,15.3,66.3,27.0,185.1,20864.0,1,2.0,184,22,221,74990,109.8,72.4,2018,3,3,0,1,0,1
71,16.0,3600.0,1,26.0,77.7,23.0,229.0,25819.0,3,1.0,395,1058,410,73419,140.5,79.4,2018,0,2,0,0,0,0
73,19.0,3600.0,1,19.4,66.0,27.0,189.5,22336.0,3,1.0,310,1663,271,65898,112.5,75.0,2017,3,3,0,0,1,1
74,20.0,3500.0,0,18.0,56.5,30.0,192.8,33350.0,1,1.0,300,1926,261,84735,109.3,73.2,2019,3,3,1,0,1,0
75,27.0,2500.0,1,18.0,57.9,39.0,191.9,79008.0,1,3.0,182,2314,180,76336,109.3,72.0,2017,3,3,1,1,0,0
76,17.0,3500.0,1,18.6,70.4,24.0,197.1,82288.0,2,3.0,240,431,270,54712,112.6,90.2,2015,3,3,0,0,1,0
77,16.0,3600.0,1,22.5,70.8,21.0,173.4,77127.0,3,1.0,285,1186,260,67199,116.0,82.8,2014,0,2,0,0,1,0
78,18.0,3300.0,3,21.1,69.1,24.0,201.4,35744.0,1,1.0,276,450,248,69005,120.5,89.3,2017,3,3,0,0,1,0
79,16.0,5300.0,0,26.0,74.0,22.0,230.0,90128.0,2,1.0,355,4562,383,67802,143.5,80.0,2017,0,2,0,0,0,0
80,17.0,3600.0,0,20.0,67.9,25.0,202.8,91699.0,1,1.0,283,1291,260,55976,121.2,88.5,2015,3,3,0,0,0,0
81,30.0,1800.0,1,13.2,56.5,39.0,179.4,53924.0,1,2.0,143,904,129,56862,105.1,69.0,2015,3,3,1,1,0,0
82,17.0,3500.0,1,18.6,68.0,23.0,201.8,118440.0,1,1.0,287,1933,254,43499,117.9,88.8,2013,2,1,0,0,1,0
83,22.0,2000.0,1,14.9,65.4,28.0,182.3,32968.0,1,1.0,252,1486,260,73715,107.3,72.4,2018,3,3,0,1,0,0
84,19.0,2500.0,0,16.9,66.9,24.0,179.5,113271.0,1,1.0,224,182,226,35767,103.0,79.0,2010,2,1,0,0,0,0
86,27.0,2000.0,0,13.2,61.6,31.0,171.2,46888.0,1,1.0,144,466,139,72740,103.9,70.7,2018,3,3,0,1,0,0
87,27.0,1500.0,1,14.0,66.5,33.0,180.6,49815.0,1,1.0,190,399,179,72369,104.7,73.0,2017,2,1,0,1,0,0
88,15.0,5700.0,0,26.0,77.9,22.0,229.0,99500.0,3,1.0,395,56,410,56979,140.5,79.4,2015,1,0,0,0,0,0
89,17.0,3500.0,4,24.6,70.7,22.0,189.1,85379.0,1,4.0,302,2243,273,52812,114.8,83.7,2014,2,1,0,0,1,0
90,24.0,2000.0,4,13.2,60.0,33.0,173.9,20703.0,3,1.0,208,1173,258,74176,106.3,79.6,2018,3,3,0,1,0,0
91,17.0,3300.0,1,19.0,67.9,23.0,184.6,174582.0,3,2.0,230,1606,242,18095,106.9,71.9,2005,3,3,0,0,1,0
92,23.0,2000.0,1,16.5,58.2,34.0,191.8,29531.0,0,1.0,181,1184,185,66967,112.2,83.5,2017,3,3,1,1,0,0
93,19.0,3500.0,1,21.1,70.6,24.0,225.5,143416.0,1,2.0,278,2377,265,60174,140.6,74.4,2016,1,0,0,0,1,0
94,24.0,2400.0,0,18.5,58.0,35.0,190.0,104127.0,1,3.0,198,338,184,44013,110.0,72.2,2013,3,3,1,1,0,0
95,23.0,2000.0,0,14.2,63.0,31.0,163.0,77830.0,0,1.0,164,684,151,49318,101.2,70.9,2014,3,3,0,1,0,0
96,17.0,5000.0,1,23.0,75.5,23.0,209.3,9732.0,2,1.0,395,113,400,81810,122.4,96.8,2019,1,0,0,0,0,0
97,29.0,2000.0,3,12.4,60.6,37.0,177.0,6691.0,3,1.0,169,177,151,83718,103.9,72.4,2019,3,3,0,1,0,0
98,18.0,3000.0,1,24.6,69.3,25.0,189.8,69830.0,2,1.0,360,1676,390,68770,114.8,84.8,2017,0,2,0,0,1,1
99,17.0,3600.0,1,21.7,70.7,25.0,204.3,47456.0,1,1.0,310,1894,266,82385,120.9,78.6,2018,0,2,0,0,1,0
100,26.0,2500.0,0,14.5,68.0,33.0,184.5,40706.0,1,1.0,170,17,175,83705,106.5,72.4,2019,3,3,0,1,0,0
101,27.0,1500.0,1,14.0,66.5,33.0,180.6,30577.0,1,1.0,190,1155,179,72369,104.7,73.0,2017,2,1,0,1,0,0
102,26.0,1400.0,0,14.0,64.9,31.0,167.6,15269.0,1,1.0,138,1058,148,80475,100.6,69.9,2019,3,3,0,1,0,0
103,17.0,3500.0,1,18.6,70.0,24.0,198.3,30491.0,2,2.0,290,331,255,73385,112.8,90.2,2018,3,3,0,0,1,0
104,27.0,2000.0,0,13.2,61.6,31.0,171.2,5646.0,1,1.0,144,1185,139,79889,103.9,70.7,2019,3,3,0,1,0,0
105,22.0,2500.0,0,15.9,67.1,28.0,183.5,25828.0,2,1.0,176,861,172,68324,104.7,72.6,2017,2,1,0,1,0,0
106,18.0,3500.0,1,19.0,67.0,25.0,185.7,126368.0,1,1.0,265,157,250,35443,111.2,87.5,2010,3,3,0,0,1,0
107,18.0,3500.0,2,21.0,68.4,27.0,202.9,134262.0,1,2.0,248,111,250,38548,118.1,91.5,2011,3,3,0,0,1,0
108,26.0,2400.0,1,15.3,64.7,33.0,179.4,53807.0,1,1.0,185,0,181,60458,103.1,71.6,2016,3,3,0,1,0,0
109,23.0,2500.0,2,15.9,65.9,30.0,183.5,27651.0,2,1.0,176,427,172,74765,104.7,72.6,2018,3,3,0,1,0,0
111,15.0,3600.0,1,22.0,69.9,22.0,203.7,45830.0,1,1.0,288,1464,270,67378,118.9,78.5,2017,3,3,0,0,1,0
112,21.0,2400.0,0,13.0,61.4,29.0,171.1,125000.0,0,2.0,158,191,162,33358,102.4,69.5,2009,3,3,0,1,0,0
113,21.0,3500.0,0,19.2,68.1,27.0,192.5,24739.0,3,2.0,295,1512,263,80289,109.8,75.8,2019,3,3,0,0,1,1
114,20.0,2000.0,0,18.3,68.6,30.0,188.1,80876.0,1,1.0,280,327,250,57721,112.2,85.8,2016,3,3,0,1,0,0
115,23.0,2500.0,0,15.9,67.1,29.0,183.5,21635.0,2,1.0,176,1057,172,68325,104.7,72.6,2017,3,3,0,1,0,0
116,31.0,2000.0,1,12.4,55.7,40.0,182.3,10615.0,1,1.0,158,1900,138,69379,106.3,70.8,2017,3,3,1,1,0,0
117,27.0,1500.0,0,13.0,57.6,37.0,193.8,46246.0,1,1.0,160,353,184,60197,111.4,73.0,2016,3,3,1,1,0,0
119,16.0,4000.0,0,19.5,66.3,21.0,203.6,103870.0,0,3.0,207,234,238,34930,125.7,81.3,2009,1,0,0,0,1,0
121,21.0,2000.0,1,15.1,66.3,28.0,178.1,64109.0,1,2.0,240,149,270,57729,105.9,81.8,2016,2,1,0,1,0,0
123,23.0,2400.0,1,15.8,58.7,36.0,192.3,109900.0,0,1.0,295,1110,262,58595,108.0,73.6,2016,3,3,1,1,0,0
124,20.0,3600.0,4,19.0,57.2,30.0,195.5,25276.0,1,2.0,335,436,285,58101,114.6,80.8,2016,4,4,1,0,1,1
125,25.0,1400.0,0,14.0,64.8,33.0,167.6,32189.0,1,1.0,138,101,148,68633,100.6,69.9,2017,3,3,0,1,0,0
127,20.0,2300.0,0,15.5,54.9,28.0,188.5,35484.0,2,1.0,310,815,350,78967,107.1,81.9,2019,4,4,0,1,0,0
129,27.0,2000.0,2,16.6,63.6,33.0,175.8,24256.0,2,1.0,152,132,145,82601,104.9,79.0,2019,2,1,0,0,0,0
130,32.0,1500.0,0,11.6,58.5,40.0,171.7,33654.0,0,1.0,106,1725,103,74182,101.2,66.7,2018,3,3,1,1,0,0
131,20.0,2000.0,1,18.0,58.2,28.0,193.9,64291.0,2,2.0,245,406,270,67070,112.2,83.3,2017,2,1,1,1,0,0
132,24.0,2500.0,0,15.9,67.1,31.0,181.1,42330.0,2,2.0,176,1682,172,60644,104.7,72.6,2016,3,3,0,1,0,0
133,17.0,3500.0,2,19.0,61.6,25.0,204.1,94719.0,0,2.0,355,173,350,35477,112.9,85.5,2010,2,1,1,0,1,0
135,23.0,2500.0,0,15.9,65.9,30.0,183.5,44604.0,2,1.0,176,3897,172,74773,104.7,72.6,2018,3,3,0,1,0,0
136,28.0,1400.0,0,14.5,57.2,38.0,183.3,29942.0,1,1.0,150,565,184,69344,104.4,70.0,2017,3,3,1,1,0,0
138,21.0,3500.0,3,18.0,56.5,30.0,192.8,41611.0,1,1.0,300,75,261,68134,109.3,73.2,2017,3,3,1,0,1,0
139,18.0,3000.0,1,24.6,69.3,25.0,189.8,35022.0,2,1.0,360,526,390,68766,114.8,84.8,2017,0,2,0,0,1,1
140,17.0,3700.0,4,20.0,62.7,24.0,186.8,33130.0,2,1.0,325,2520,267,68096,113.4,71.0,2017,4,4,0,0,1,0
141,18.0,3500.0,1,19.5,69.8,26.0,194.5,65800.0,2,1.0,280,894,262,77174,111.0,78.6,2018,2,1,0,0,1,0
142,16.0,3500.0,0,18.6,71.0,23.0,198.3,82319.0,2,1.0,290,344,255,57449,112.8,90.2,2016,2,1,0,0,1,0
143,19.0,3500.0,1,19.5,69.6,28.0,203.2,78290.0,1,1.0,280,549,262,72968,118.1,92.3,2018,3,3,0,0,1,0
144,19.0,3000.0,1,24.6,69.3,26.0,189.8,37926.0,2,1.0,241,2364,406,68765,114.8,84.8,2017,1,0,0,0,1,1
145,17.0,3600.0,0,21.7,70.7,25.0,204.3,35868.0,1,1.0,310,179,266,73658,120.9,78.6,2018,0,2,0,0,1,0
146,18.0,3500.0,2,19.2,66.3,24.0,187.8,120927.0,1,1.0,270,353,248,54441,107.9,74.2,2015,2,1,0,0,1,0
147,18.0,3600.0,1,18.5,59.2,28.0,196.9,53455.0,0,2.0,182,1996,172,58064,111.7,73.1,2016,3,3,1,0,1,0
148,20.0,2000.0,0,15.9,66.3,27.0,185.1,15689.0,1,1.0,184,1,221,89321,109.8,72.4,2020,2,1,0,1,0,0
149,31.0,2000.0,1,12.4,55.7,40.0,182.3,33166.0,1,1.0,158,8,138,69372,106.3,70.8,2017,3,3,1,1,0,0
151,27.0,1400.0,0,14.0,65.3,33.0,168.4,35344.0,1,1.0,138,108,148,74901,100.6,69.9,2018,3,3,0,1,0,0
152,23.0,2000.0,1,15.7,66.3,30.0,178.1,31883.0,1,1.0,245,596,275,73869,105.9,81.8,2018,3,3,0,1,0,0
153,25.0,2000.0,0,14.2,63.5,30.0,163.0,31111.0,0,1.0,161,344,150,82277,101.2,70.9,2019,3,3,0,1,0,0
154,17.0,3500.0,1,18.6,70.0,24.0,198.3,89260.0,2,2.0,290,440,255,67140,112.8,90.2,2017,3,3,0,0,1,0
155,28.0,1800.0,1,13.2,57.3,35.0,183.1,33579.0,0,1.0,132,544,128,78889,106.3,69.9,2019,3,3,1,1,0,0
157,14.0,4000.0,1,21.1,70.1,19.0,205.5,139238.0,1,2.0,261,1364,281,42509,125.9,72.8,2012,0,2,0,0,1,0
158,20.0,2000.0,1,19.2,68.6,28.0,188.1,71747.0,1,1.0,280,35,250,57720,112.2,85.8,2016,2,1,0,1,0,0
160,27.0,1800.0,1,13.2,63.2,32.0,169.1,79642.0,1,1.0,141,695,127,57688,102.8,69.8,2016,2,1,0,1,0,0
163,22.0,2000.0,1,15.7,66.3,28.0,178.1,20815.0,1,1.0,245,55,275,66218,105.9,81.8,2017,2,1,0,1,0,0
164,26.0,2400.0,1,15.3,65.1,33.0,179.4,58286.0,1,1.0,185,723,181,56912,103.1,71.6,2015,2,1,0,1,0,0
165,26.0,2500.0,0,14.5,68.0,33.0,184.5,38869.0,1,1.0,170,430,175,83705,106.5,72.4,2019,3,3,0,1,0,0
166,17.0,3600.0,3,20.0,68.9,25.0,202.8,37066.0,1,1.0,283,1329,260,68660,121.2,88.5,2017,3,3,0,0,0,0
167,21.0,2000.0,4,17.7,66.1,28.0,183.6,19395.0,2,1.0,240,2940,260,67312,110.6,82.2,2017,2,1,0,1,0,0
168,20.0,3500.0,1,19.5,69.6,26.0,197.2,111396.0,1,2.0,260,597,240,44113,114.2,77.2,2013,3,3,0,0,1,0
170,27.0,1500.0,1,15.8,57.6,36.0,193.8,60900.0,1,2.0,160,824,184,74365,111.4,73.0,2018,3,3,1,1,0,0
173,24.0,2500.0,1,15.3,66.1,30.0,179.1,4957.0,1,1.0,187,717,186,89617,106.2,83.3,2020,2,1,0,1,0,0
174,32.0,1500.0,0,10.6,60.0,37.0,160.0,34576.0,0,1.0,130,863,114,69137,99.6,67.0,2017,3,3,0,1,0,0
176,26.0,2500.0,0,14.5,66.3,33.0,184.5,13324.0,1,2.0,170,818,175,83703,106.5,72.4,2019,3,3,0,1,0,0
178,12.0,3600.0,3,20.0,69.0,18.0,203.7,34756.0,1,1.0,283,33,260,82263,121.2,88.5,2019,3,3,0,0,0,0
179,16.0,3500.0,0,18.6,71.0,22.0,198.3,39733.0,2,1.0,365,4453,350,80402,112.8,90.2,2019,2,1,0,0,1,0
181,27.0,2500.0,0,16.2,56.9,37.0,192.9,10310.0,1,1.0,188,118,180,83894,111.2,72.9,2019,3,3,1,1,0,0
182,21.0,2000.0,4,17.7,66.1,28.0,183.6,26285.0,2,1.0,240,2586,260,67312,110.6,82.2,2017,2,1,0,1,0,0
183,18.0,3600.0,0,19.0,69.9,28.0,203.6,33615.0,3,1.0,287,104,262,67340,121.6,90.4,2017,3,3,0,0,1,0
184,20.0,3600.0,0,18.5,66.1,27.0,189.9,21591.0,2,1.0,256,622,247,75430,108.1,81.3,2018,2,1,0,0,0,0
186,30.0,1500.0,1,12.4,56.3,36.0,177.9,33603.0,1,1.0,180,1782,162,84197,106.3,70.8,2019,3,3,0,1,0,0
187,28.0,2500.0,1,16.2,56.8,39.0,192.9,32829.0,1,1.0,188,540,180,83905,111.2,72.9,2019,3,3,1,1,0,0
190,16.0,2700.0,1,18.0,66.2,23.0,190.0,26701.0,2,1.0,335,587,380,70243,112.2,86.1,2017,2,1,0,0,1,0
191,19.0,3500.0,1,21.0,68.4,28.0,202.9,74445.0,1,1.0,248,2060,250,59707,118.1,91.5,2016,3,3,0,0,1,0
192,24.0,2500.0,4,15.9,67.1,31.0,179.9,104007.0,2,1.0,176,909,172,43879,104.7,72.6,2013,3,3,0,1,0,0
194,28.0,1800.0,0,13.2,57.3,35.0,183.1,40259.0,0,1.0,132,302,128,78889,106.3,69.9,2019,3,3,1,1,0,0
195,21.0,2000.0,4,14.8,60.2,30.0,174.2,49597.0,1,1.0,208,1451,258,69307,106.3,82.0,2017,2,1,0,1,0,0
198,27.0,2000.0,0,11.9,60.7,32.0,168.3,37320.0,1,2.0,146,1113,146,59654,101.2,69.6,2016,2,1,0,1,0,0
199,22.0,2000.0,1,15.3,66.3,27.0,185.1,26713.0,1,1.0,184,1387,221,74990,109.8,72.4,2018,3,3,0,1,0,1
200,30.0,1500.0,1,14.8,57.1,38.0,192.2,5357.0,1,1.0,192,1498,192,88936,111.4,73.3,2020,3,3,1,1,0,0
201,25.0,1600.0,0,11.8,61.8,30.0,162.4,72812.0,0,2.0,188,1028,177,43062,99.6,69.5,2012,2,1,0,1,0,0
202,16.0,3800.0,1,20.0,68.8,23.0,200.6,154609.0,1,2.0,215,0,245,12786,119.3,78.6,2006,3,3,0,0,1,0
203,22.0,2000.0,1,15.7,66.3,28.0,178.1,34026.0,1,1.0,245,1071,275,73868,105.9,81.8,2018,2,1,0,1,0,0
204,18.0,3600.0,4,15.8,54.9,29.0,192.3,74661.0,0,2.0,295,739,262,53888,108.9,73.6,2015,2,1,1,0,1,0
208,28.0,1500.0,1,14.0,66.1,34.0,180.6,27918.0,1,1.0,190,868,179,76549,104.7,73.0,2018,3,3,0,1,0,0
209,21.0,2400.0,0,18.8,66.5,28.0,187.4,27657.0,1,1.0,185,29,178,75240,109.4,74.4,2018,3,3,0,1,0,0
210,21.0,2400.0,0,13.6,65.5,28.0,173.8,76285.0,0,2.0,172,2360,165,58907,103.7,69.2,2016,3,3,0,1,0,0
211,31.0,1600.0,0,10.8,59.6,39.0,175.4,44856.0,0,1.0,109,151,107,68181,102.4,66.7,2017,3,3,1,1,0,0
212,18.0,2300.0,3,15.5,65.6,25.0,179.2,32265.0,2,1.0,275,1871,300,75551,105.9,84.1,2018,2,1,0,1,0,0
214,22.0,2500.0,0,15.9,67.1,28.0,183.5,21123.0,2,1.0,176,583,172,68330,104.7,72.6,2017,2,1,0,1,0,0
215,17.0,3600.0,3,20.0,68.9,25.0,202.8,42942.0,1,1.0,283,1350,260,59001,121.2,88.5,2016,3,3,0,0,0,0
216,21.0,2500.0,2,16.9,66.9,27.0,179.5,54385.0,1,1.0,170,1090,174,43256,103.0,79.0,2012,2,1,0,0,0,0
218,23.0,2000.0,4,15.8,56.5,33.0,182.8,26722.0,2,1.0,248,1001,258,69354,110.6,80.0,2017,2,1,1,1,0,0
219,24.0,1400.0,0,14.0,64.8,30.0,167.6,34789.0,1,1.0,138,1364,148,68636,100.6,69.9,2017,2,1,0,1,0,0
220,19.0,3600.0,0,19.0,53.1,28.0,188.3,46532.0,2,5.0,335,1015,284,67577,110.7,74.7,2017,4,4,0,0,1,1
222,13.0,5700.0,0,24.6,69.4,19.0,189.8,163556.0,2,1.0,360,1211,390,37340,114.8,84.8,2011,0,2,0,0,0,0
223,24.0,1400.0,0,14.0,64.8,30.0,167.6,14285.0,1,1.0,138,672,148,68636,100.6,69.9,2017,2,1,0,1,0,0
224,20.0,2300.0,0,16.5,67.6,24.0,174.9,193624.0,1,1.0,153,0,152,30145,103.1,70.1,2007,3,3,0,1,0,0
225,29.0,1800.0,1,13.2,58.9,37.0,182.5,28563.0,0,1.0,124,797,125,83399,106.3,69.3,2019,3,3,1,1,0,0
226,22.0,2400.0,1,12.7,66.5,30.0,166.6,67156.0,1,1.0,180,1,175,70040,101.2,79.6,2017,3,3,0,0,0,0
227,27.0,1600.0,0,10.8,59.6,36.0,175.4,58873.0,0,1.0,109,476,107,59280,102.4,66.7,2016,3,3,1,1,0,0
228,24.0,2400.0,1,18.5,57.7,34.0,191.1,24171.0,1,1.0,185,67,178,72553,110.4,73.2,2017,3,3,1,1,0,0
229,25.0,2500.0,1,17.0,57.9,35.0,190.9,72346.0,1,1.0,178,374,170,59789,109.3,71.7,2016,3,3,1,1,0,0
230,23.0,2000.0,1,15.9,68.2,27.0,180.9,63147.0,1,1.0,250,337,258,68595,103.9,80.0,2017,2,1,0,0,0,0
231,16.0,3500.0,1,28.0,77.2,22.0,206.0,86359.0,1,1.0,365,897,420,57743,119.0,91.8,2016,1,0,0,0,1,0
232,27.0,2000.0,2,13.2,61.0,33.0,164.0,30359.0,1,1.0,147,130,132,83852,102.4,70.9,2019,3,3,0,1,0,0
233,22.0,2400.0,0,13.5,64.8,31.0,173.0,19166.0,1,1.0,180,716,175,74933,103.8,80.0,2018,3,3,0,1,0,0
234,19.0,2300.0,1,15.5,65.6,25.0,179.2,41021.0,2,1.0,275,796,300,66992,105.9,84.1,2017,2,1,0,1,0,0
235,17.0,3500.0,4,24.6,70.7,22.0,189.1,99009.0,1,1.0,302,643,273,52812,114.8,83.7,2014,2,1,0,0,1,0
236,25.0,2500.0,0,14.5,66.6,32.0,184.5,36302.0,1,1.0,170,358,175,76570,106.5,72.4,2018,2,1,0,1,0,0
237,24.0,2500.0,1,15.3,67.3,30.0,179.3,27603.0,1,1.0,184,1401,185,54362,106.3,72.4,2015,2,1,0,1,0,0
238,21.0,2000.0,1,15.5,65.2,28.0,179.2,24038.0,2,1.0,240,3665,270,66989,105.9,84.1,2017,3,3,0,1,0,0
241,30.0,2000.0,1,18.5,58.5,40.0,191.6,73141.0,1,2.0,140,342,236,41376,110.4,72.2,2012,3,3,1,0,0,0
243,25.0,2500.0,0,14.5,68.4,32.0,184.5,28266.0,1,1.0,170,1655,175,68523,106.5,72.4,2017,2,1,0,1,0,0
244,26.0,2500.0,1,13.2,57.3,35.0,175.6,20133.0,0,1.0,184,434,185,70141,106.3,70.7,2017,3,3,0,1,0,0
245,30.0,1400.0,0,13.2,57.4,40.0,185.1,28120.0,1,1.0,147,931,184,79288,105.7,70.8,2019,3,3,1,1,0,1
246,27.0,2400.0,1,17.2,57.7,36.0,192.5,7786.0,1,1.0,185,762,181,68053,109.3,72.8,2017,3,3,1,1,0,0
247,20.0,3200.0,1,15.9,66.2,28.0,182.0,95735.0,1,2.0,271,575,239,55139,106.3,73.2,2015,0,2,0,0,1,0
248,18.0,3600.0,1,17.5,58.7,30.0,200.4,54761.0,0,2.0,300,1243,262,67463,110.5,72.9,2015,3,3,1,0,0,0
