,city_fuel_economy,engine_displacement,franchise_make,fuel_tank_volume,height,highway_fuel_economy,length,mileage,model_name,owner_count,power,savings_amount,torque,trimId,wheelbase,width,year,wheel_system_cat,wheel_system_display_cat,body_type_Sedan,engine_cylinders_I4,engine_cylinders_V6,transmission_display_8_Speed_Automatic
3266,27.0,2400.0,0,17.2,57.7,36.0,192.5,65561.0,1,1.0,185,1220,181,68060,109.3,72.8,2017,3,3,1,1,0,0
3267,27.0,2000.0,1,14.3,63.0,33.0,165.2,2500.0,0,1.0,147,119,132,85070,102.4,70.9,2020,3,3,0,1,0,0
3268,27.0,2500.0,0,15.9,56.9,37.0,192.9,3503.0,1,1.0,191,3599,181,85855,111.8,73.2,2020,3,3,1,1,0,0
3269,16.0,3600.0,0,22.0,69.9,23.0,203.7,81667.0,1,3.0,281,719,266,51747,118.9,78.5,2014,2,1,0,0,1,0
3270,29.0,1800.0,1,13.2,57.3,38.0,182.6,134118.0,0,1.0,132,325,128,56495,106.3,69.9,2015,3,3,1,1,0,0
3271,17.0,2500.0,0,21.1,68.7,22.0,205.5,39982.0,1,1.0,152,697,171,76423,125.9,72.8,2018,1,0,0,1,0,0
3272,27.0,1500.0,1,14.0,66.5,33.0,180.6,15042.0,1,1.0,190,263,179,76543,104.7,73.0,2018,2,1,0,1,0,0
3273,19.0,3500.0,0,19.5,69.8,27.0,194.5,27303.0,2,1.0,280,3615,262,77183,111.0,78.6,2018,3,3,0,0,1,0
3274,17.0,3600.0,3,20.0,69.0,25.0,203.7,43835.0,1,1.0,283,947,260,75981,121.2,88.5,2018,3,3,0,0,0,0
3275,22.0,2400.0,1,13.5,64.8,30.0,173.0,14764.0,1,1.0,180,871,175,74934,103.8,80.0,2018,0,2,0,1,0,0
3276,26.0,2000.0,1,12.4,57.8,38.0,171.7,26525.0,0,1.0,123,387,148,59009,104.3,80.5,2016,3,3,0,0,0,0
3278,18.0,3800.0,0,20.3,58.3,29.0,196.5,94590.0,1,2.0,311,777,293,53910,118.5,74.4,2015,4,4,1,0,1,0
3279,30.0,2000.0,1,13.2,57.3,41.0,180.3,66518.0,0,2.0,155,1628,150,59128,106.3,70.7,2016,3,3,1,1,0,0
