iter	Passed	Remaining
412	3757	5340
413	3766	5331
414	3775	5322
415	3784	5313
416	3793	5304
417	3803	5295
418	3811	5284
419	3820	5275
420	3829	5266
421	3838	5257
422	3847	5248
423	3857	5239
424	3866	5230
425	3874	5220
426	3883	5211
427	3892	5202
428	3901	5193
429	3910	5184
430	3920	5176
431	3930	5167
432	3939	5158
433	3948	5149
434	3956	5139
435	3965	5130
436	3974	5120
437	3984	5112
438	3994	5104
439	4003	5095
440	4012	5085
441	4021	5076
442	4030	5067
443	4039	5058
444	4048	5048
445	4057	5040
446	4066	5031
447	4075	5021
448	4085	5013
449	4094	5004
450	4103	4994
451	4111	4985
452	4120	4975
453	4129	4966
454	4139	4958
455	4148	4949
456	4157	4940
457	4166	4930
458	4176	4922
459	4185	4913
460	4195	4905
461	4203	4895
462	4212	4885
463	4221	4876
464	4230	4867
465	4239	4857
466	4248	4848
467	4256	4839
468	4265	4829
469	4274	4820
470	4283	4811
471	4292	4801
472	4301	4792
473	4310	4783
474	4320	4775
475	4329	4766
476	4338	4756
477	4347	4747
478	4356	4738
479	4365	4729
480	4373	4719
481	4383	4710
482	4392	4701
483	4400	4691
484	4409	4682
485	4418	4672
486	4427	4663
487	4437	4655
488	4446	4646
489	4455	4637
490	4465	4628
491	4474	4619
492	4482	4609
493	4491	4600
494	4501	4592
495	4509	4582
496	4518	4573
497	4527	4563
498	4536	4554
499	4545	4545
500	4553	4535
501	4562	4526
502	4571	4516
503	4580	4507
504	4589	4498
505	4598	4489
506	4607	4480
507	4616	4471
508	4625	4462
509	4634	4452
510	4643	4443
511	4651	4433
512	4660	4424
513	4668	4414
514	4678	4405
515	4686	4396
516	4696	4387
517	4704	4377
518	4715	4369
519	4724	4361
520	4733	4351
521	4743	4343
522	4751	4333
523	4760	4324
524	4770	4316
525	4779	4306
526	4788	4297
527	4797	4288
528	4806	4279
529	4815	4270
530	4824	4261
531	4833	4251
532	4842	4242
533	4851	4233
534	4860	4224
535	4869	4215
536	4879	4206
537	4888	4197
