iter	RMSE
221	1846.833032
222	1844.612972
223	1842.91124
224	1839.714891
225	1838.024974
226	1836.225058
227	1833.491025
228	1832.398455
229	1829.522315
230	1827.10013
231	1825.125062
232	1822.88073
233	1820.443329
234	1817.234943
235	1816.170768
236	1813.1937
237	1812.309107
238	1810.712799
239	1808.114188
240	1804.875117
241	1803.512932
242	1801.78786
243	1801.594453
244	1799.813911
245	1798.827152
246	1796.091777
247	1793.981659
248	1792.028909
249	1791.846421
250	1789.667661
251	1786.880143
252	1785.287519
253	1783.191468
254	1781.657083
255	1779.428765
256	1778.129535
257	1776.66797
258	1774.598634
259	1770.310282
260	1766.790398
261	1763.620677
262	1763.440543
263	1763.338695
264	1762.273978
265	1759.736273
266	1757.480489
267	1754.942561
268	1754.512982
269	1754.238172
270	1752.188263
271	1750.814814
272	1748.822161
273	1746.268102
274	1746.102373
275	1744.748496
276	1742.479896
277	1742.335674
278	1741.66379
279	1739.514022
280	1735.80738
281	1733.981245
282	1732.760057
283	1730.291821
284	1727.854614
285	1727.637983
286	1726.357325
287	1725.312233
288	1723.772083
289	1721.284172
290	1720.274924
291	1719.178119
292	1717.397271
293	1715.431671
294	1714.622644
295	1714.51575
296	1712.520587
297	1711.14865
298	1709.891615
299	1708.094369
300	1706.011037
301	1704.80129
302	1703.793541
303	1702.176252
304	1700.882853
305	1699.618945
306	1699.439335
307	1698.386952
308	1695.725528
309	1695.586741
310	1695.466354
311	1692.66499
312	1689.93779
313	1688.884322
314	1686.525977
315	1686.39225
316	1684.733949
317	1683.313206
318	1682.106507
319	1679.691269
320	1677.065831
321	1675.575166
322	1674.228693
323	1673.44319
324	1671.695566
325	1671.624603
326	1670.249366
327	1668.80106
328	1668.686019
329	1666.949836
330	1666.074481
331	1664.59171
332	1662.917401
333	1662.07287
334	1660.303283
335	1660.234577
336	1658.256904
337	1656.354838
338	1654.60559
339	1652.824853
340	1650.934519
341	1649.673962
342	1648.929635
343	1647.750704
344	1646.125083
345	1645.161489
346	1642.988045
347	1642.66716
348	1641.259628
349	1639.503582
350	1637.831571
351	1637.228266
352	1635.015803
353	1634.099924
354	1633.0459
355	1632.043976
356	1631.383038
357	1629.770683
358	1628.191598
359	1626.532582
360	1625.019007
361	1624.039045
362	1622.541054
363	1621.184814
364	1619.927031
365	1619.874642
366	1619.746948
367	1618.167873
368	1617.223309
369	1615.197287
370	1613.26324
371	1611.472349
372	1611.396148
373	1610.242251
374	1610.161153
375	1608.838261
376	1608.774817
377	1606.913311
378	1605.65321
379	1604.612168
380	1603.248981
381	1602.002402
382	1600.04624
383	1599.28926
384	1598.207835
385	1596.307404
386	1594.96032
387	1593.624721
388	1592.014001
389	1591.949303
390	1590.563957
391	1589.058043
392	1588.172147
393	1587.58106
394	1586.574766
395	1585.19325
396	1583.170036
397	1582.490338
398	1581.326771
399	1579.824475
400	1579.631478
401	1579.0053
402	1577.762006
403	1576.726188
404	1575.403439
405	1573.240245
406	1571.9261
407	1571.047169
408	1569.402382
409	1567.61342
410	1566.195246
411	1564.612647
412	1563.419036
413	1562.545517
414	1561.230349
415	1560.88974
416	1559.014783
417	1557.837035
418	1557.1319
419	1556.07632
420	1554.860049
421	1553.181267
422	1551.659067
423	1550.36855
424	1549.379803
425	1548.354262
426	1546.516034
427	1545.667188
428	1545.541212
429	1545.055489
430	1543.533128
431	1542.62792
432	1540.825643
433	1539.030961
434	1537.761446
435	1536.267825
436	1536.239663
437	1534.729459
438	1533.810533
439	1532.618112
440	1531.360242
441	1530.288514
442	1529.329486
443	1529.26095
444	1527.369886
445	1527.191543
446	1526.285166
447	1526.016402
448	1524.33135
449	1523.969628
450	1523.144968
451	1522.185853
452	1521.325048
453	1521.225853
454	1519.556153
455	1517.870781
456	1516.253736
457	1515.576614
458	1515.023425
459	1514.035739
460	1512.909155
461	1511.573294
462	1510.587363
463	1509.380544
464	1508.244824
465	1507.338315
466	1506.463554
467	1505.787552
468	1505.200185
469	1503.768184
470	1502.829796
471	1501.93514
472	1500.419574
473	1499.25645
474	1497.723827
475	1497.047754
476	1495.963475
477	1495.099038
478	1494.65587
479	1493.405111
480	1493.307161
481	1491.514935
482	1490.811341
483	1490.252953
484	1490.072222
485	1490.048495
486	1489.83038
487	1489.201475
488	1488.573035
489	1487.625644
490	1486.938824
491	1485.855644
492	1484.848324
493	1484.728263
494	1484.226289
495	1484.146914
496	1483.022711
497	1481.603747
498	1481.502777
499	1480.387784
500	1479.841384
501	1479.399467
502	1478.131818
503	1478.111346
504	1477.12084
505	1476.398257
506	1474.951658
507	1474.019687
508	1473.00471
509	1472.097465
510	1471.526645
511	1470.730276
512	1470.283398
513	1469.197785
514	1468.418309
515	1466.639333
516	1465.396517
517	1464.709495
518	1463.756179
519	1462.97645
520	1461.501516
521	1461.03993
522	1460.627469
523	1459.43574
524	1458.955215
525	1458.548106
526	1456.911545
527	1456.751861
528	1455.605243
529	1454.891507
530	1453.322278
531	1452.494713
532	1451.483419
533	1450.213026
534	1448.637549
535	1448.584051
536	1448.096187
537	1446.780429
538	1445.916422
539	1445.27656
540	1444.102497
541	1443.601152
542	1442.331398
543	1441.156502
544	1439.902553
545	1438.953179
546	1437.655413
547	1436.841524
548	1436.175764
549	1435.034664
550	1434.381997
551	1432.718287
552	1431.942046
553	1430.420206
554	1429.688669
555	1428.985607
556	1427.985598
557	1427.702676
558	1426.857957
559	1426.135095
560	1424.833639
561	1423.457901
562	1423.08457
563	1422.58524
564	1422.546266
565	1421.93467
566	1421.418638
567	1420.761536
568	1419.626455
569	1419.579278
570	1419.183532
571	1417.797488
572	1417.028293
573	1416.122908
574	1414.78045
575	1413.951046
576	1412.870067
577	1411.959427
578	1411.834703
579	1410.782105
580	1410.112586
581	1409.030458
582	1408.342005
583	1407.234985
584	1406.766445
585	1405.525922
586	1405.484657
587	1404.385595
588	1403.340461
589	1402.517284
590	1402.093368
591	1401.216389
592	1401.189235
593	1400.859972
594	1400.014482
595	1399.37776
596	1399.350782
597	1398.818499
598	1397.727158
599	1397.408277
600	1396.4738
601	1394.494549
602	1394.119385
603	1392.797262
604	1391.141839
605	1389.744168
606	1388.871444
607	1387.955894
608	1387.915767
609	1386.868986
610	1385.996852
611	1384.51055
612	1383.608323
613	1382.674182
614	1381.732298
615	1380.496932
616	1379.437109
617	1378.415265
618	1377.57464
619	1377.190306
620	1376.853253
621	1376.360067
622	1375.798754
623	1375.416672
624	1374.256262
625	1373.430275
626	1372.105591
627	1371.06844
628	1370.81247
629	1369.86275
630	1368.759187
631	1367.721188
632	1366.609293
633	1365.863833
634	1364.619993
635	1363.716385
636	1363.516029
637	1362.998768
638	1362.477075
639	1361.944195
640	1361.631631
641	1360.527585
642	1359.665478
643	1358.779617
644	1357.869991
645	1357.061815
646	1356.29196
647	1355.433766
648	1354.278738
649	1353.79161
650	1353.059797
651	1352.812328
652	1352.259005
653	1351.346462
654	1350.853064
655	1350.584296
656	1349.881826
657	1349.237554
658	1348.15089
659	1347.78109
660	1347.131252
661	1346.534334
662	1345.360459
663	1345.002331
664	1344.397601
665	1343.935819
666	1343.267352
667	1342.472357
668	1341.654469
669	1340.772646
670	1340.173833
671	1339.718899
672	1338.778504
673	1338.368075
674	1338.027164
675	1337.324492
676	1336.744341
677	1335.793945
678	1335.449915
679	1335.034255
680	1334.105529
681	1333.040883
682	1331.826224
683	1331.054144
684	1330.009347
685	1329.800895
686	1329.404709
687	1329.210622
688	1329.199297
689	1328.691922
690	1328.380515
691	1327.510881
692	1326.933411
693	1326.413421
694	1325.704134
695	1324.994169
696	1323.894331
697	1323.123164
698	1322.324807
699	1322.07653
700	1321.818825
701	1320.806743
702	1319.725967
703	1318.608455
704	1317.996995
705	1317.125987
706	1316.074293
707	1315.181846
708	1314.114826
709	1313.585877
710	1313.17863
711	1312.943271
712	1312.094198
713	1310.81425
714	1310.141221
715	1309.430038
716	1308.465157
717	1307.748186
718	1306.889003
719	1305.712159
720	1304.773828
721	1304.066843
722	1303.769899
723	1302.936312
724	1302.264227
725	1301.055748
726	1300.330693
727	1299.287296
728	1299.147131
729	1298.67146
730	1298.264922
731	1298.019561
732	1297.083974
733	1296.559743
734	1295.808866
735	1295.323119
736	1294.436525
737	1293.872272
738	1293.312626
739	1292.873143
740	1291.905932
741	1291.191607
742	1290.151955
743	1288.929856
744	1288.451008
745	1287.525187
746	1286.580859
747	1285.472539
748	1284.489191
749	1283.939929
750	1283.34992
751	1282.906496
752	1282.085191
753	1280.949726
754	1279.992411
755	1279.177241
756	1278.426482
757	1277.233122
758	1276.875297
759	1276.566016
760	1275.785739
761	1275.436378
762	1274.916945
763	1274.094481
764	1273.55839
765	1272.816411
766	1272.336497
767	1271.320189
768	1270.644138
769	1270.258807
770	1269.346629
771	1268.955366
772	1267.940537
773	1267.679799
774	1266.912914
775	1266.359231
776	1265.853538
777	1264.825258
778	1264.685701
779	1263.554754
780	1263.027291
781	1262.207483
782	1261.269774
783	1260.429626
784	1259.682572
785	1258.871599
786	1257.969688
787	1257.434876
788	1257.179193
789	1256.552109
790	1256.3526
791	1255.88244
792	1255.178768
793	1254.513076
794	1253.863127
795	1253.302256
796	1252.527571
797	1251.83935
798	1251.343944
799	1250.843685
800	1250.448749
801	1249.530009
802	1248.953287
803	1248.071471
804	1247.472873
805	1247.338943
806	1246.931539
807	1246.645875
808	1246.106424
809	1244.966082
810	1244.706169
811	1244.203173
812	1243.640559
813	1243.060893
814	1242.688703
815	1241.96923
816	1241.849183
817	1240.344655
818	1239.873044
819	1239.543894
820	1239.127014
821	1238.269221
822	1237.731237
823	1237.153223
824	1236.47802
825	1236.122518
826	1235.282586
827	1234.533179
828	1234.086529
829	1234.010342
830	1233.960827
831	1233.172917
832	1232.77241
833	1232.283018
834	1231.57153
835	1230.750144
836	1229.966438
837	1229.003511
838	1228.412194
839	1227.503895
840	1226.81141
841	1226.468231
842	1225.635548
843	1224.949632
844	1223.943475
845	1223.261121
846	1222.500786
847	1221.928872
848	1220.829467
849	1220.081819
850	1219.232663
851	1218.555921
852	1217.914449
853	1217.621566
854	1216.868106
855	1216.733025
856	1215.849509
857	1215.741883
858	1214.93254
859	1214.380574
860	1213.232754
861	1212.790918
862	1212.154051
863	1211.24889
864	1210.820959
865	1210.094916
866	1209.680637
867	1209.044086
868	1208.812616
869	1207.971643
870	1207.600897
871	1207.325822
872	1206.498106
873	1205.942019
874	1204.790425
875	1204.165778
876	1203.696363
877	1203.041416
878	1202.511558
879	1202.088367
880	1201.618271
881	1200.855435
882	1199.84591
883	1198.600816
884	1197.655444
885	1197.229878
886	1196.791381
887	1196.144911
888	1195.818411
889	1195.374527
890	1195.102271
891	1194.51415
892	1193.922904
893	1193.155465
894	1192.550472
895	1191.752983
896	1191.343048
897	1190.839884
898	1189.969642
899	1189.331126
900	1188.525288
901	1187.740394
902	1187.34656
903	1187.318066
904	1186.980105
905	1186.654778
906	1185.618944
907	1185.333148
908	1185.057845
909	1184.355118
910	1183.802531
911	1183.035029
912	1182.288386
913	1181.760289
914	1181.560392
915	1180.974156
916	1180.05174
917	1178.816706
918	1178.229683
919	1177.910337
920	1177.159239
921	1176.642065
922	1176.312701
923	1175.755508
924	1175.347739
925	1175.186011
926	1174.305795
927	1173.852094
928	1173.198018
929	1172.59477
930	1172.192774
931	1171.812268
932	1171.37395
933	1170.657258
934	1170.476062
935	1169.925781
936	1169.290083
937	1168.644421
938	1168.008421
939	1167.744337
940	1166.987327
941	1166.502054
942	1165.745133
943	1164.842711
944	1164.424123
945	1163.692802
946	1163.40772
947	1162.899235
948	1162.332424
949	1161.971444
950	1161.383185
951	1160.828423
952	1160.109631
953	1159.724692
954	1159.226025
955	1158.777414
956	1158.055277
957	1157.465324
958	1156.720686
959	1156.127065
960	1155.581736
961	1155.330848
962	1154.64884
963	1154.082843
964	1153.873932
965	1153.428197
966	1152.691688
967	1152.13226
968	1151.319474
969	1150.421036
970	1150.133889
971	1149.571692
972	1148.623358
973	1148.085441
974	1147.588443
975	1147.442753
976	1147.175075
977	1146.270644
978	1146.004339
979	1145.453483
980	1144.784693
981	1144.190816
982	1143.628532
983	1143.355063
984	1142.581427
985	1142.274433
986	1142.173554
987	1141.314714
988	1140.645673
989	1140.544356
990	1140.075489
991	1139.349471
992	1138.294232
993	1137.745708
994	1137.00911
995	1136.742767
996	1136.131622
997	1135.008444
998	1134.293618
999	1133.915966
